age_int,observed_players,observed_mean_xwoba,imputed_mean_xwoba,imputed_sd,imputed_low,imputed_high
21,38,0.3098254609501327,0.2963230174219725,NA,NA,NA
22,110,0.2987514329198424,0.29768129153444106,NA,NA,NA
23,196,0.2966123626242895,0.2984126193245636,NA,NA,NA
24,354,0.30243451363420903,0.299142368548191,NA,NA,NA
25,466,0.29807098781167257,0.29843985921136196,NA,NA,NA
26,538,0.2983666618710392,0.2994159211184275,NA,NA,NA
27,537,0.2977558358852697,0.29726001161769816,NA,NA,NA
28,514,0.3011465248938575,0.29683338223151556,NA,NA,NA
29,454,0.303667953674761,0.29493591849558093,NA,NA,NA
30,367,0.3110693723984897,0.29462157084224944,NA,NA,NA
31,341,0.30711103240193893,0.2917831776981777,NA,NA,NA
32,310,0.30281259805486194,0.28852349776931463,NA,NA,NA
33,240,0.30664225897943215,0.2858473050454277,NA,NA,NA
34,194,0.30416297165974193,0.2827193314719545,NA,NA,NA
35,128,0.3064285570204061,0.2778786109982604,NA,NA,NA
36,86,0.3033040012152162,0.2734717818321577,NA,NA,NA
37,51,0.31044798166513643,0.2688792712036563,NA,NA,NA
38,36,0.2982699930977695,0.26334262167535877,NA,NA,NA
39,17,0.3093637199148419,0.25654887032477575,NA,NA,NA
